Timestamp,Agreed,Gender,Age,Weight,Income,College fees,Scholarship,Loans,Course,CGPA,Backlog,Study Hours,Smartphone Usage,Laptop Usage,Sleep Hours,Medications,Financial Stress,Smoking Habit,Drinking Habit,Smartwatch,Smarthwatch Brand,Low BPM,Average BPM,High BPM,Steps walked 
2023/10/04 7:32:08 am GMT+5:30,YES,Female,22,47,60000,105000,No,No,MCA,7.6,0,4,6,3,8,No,5,No,Yes,Yes,Boat ,50,60,90,30000
2023/10/04 10:42:05 am GMT+5:30,YES,Female,22,52,200000,100000,No,No,MCA,7,0,1,6,1,8,No,7,No,Yes,No,,,,,
2023/10/04 11:03:51 am GMT+5:30,YES,Female,22,52,200000,100000,No,No,MCA,7.5,0,1,6,2,8,No,7,No,Yes,No,,,,,
2023/10/04 12:15:43 pm GMT+5:30,YES,Female,18,45,30000,150000,Yes,No,Bsc,8.3,0,2,2,0,6,No,5,No,No,Yes,Noice,80,90,100,100000
2023/10/04 6:23:32 pm GMT+5:30,YES,Female,22,54,20000,105000,Yes,No,MCA,7.9,0,1,3,2,8,No,9,No,No,Yes,Boat,72,80,94,6000
2023/10/05 8:40:05 am GMT+5:30,YES,Male,24,60,40000,93000,No,No,MCA,7,0,2,4,3,7,No,7,No,No,No,,,,,
2023/10/09 2:17:12 pm GMT+5:30,YES,Male,22,75,44535,105000,No,No,MCA,7.03,0,2,8,3,8,No,4,No,No,No,,,,,
2023/10/09 2:21:25 pm GMT+5:30,YES,Male,20,70,,125000,No,Yes,BCA,6.5,1,2,8,4,6,No,7,Yes,No,Yes,Amazfit,60,86,110,30000
2023/10/09 2:25:30 pm GMT+5:30,YES,Male,21,69,50000,105000,Yes,No,Msc,7.3,0,3,3,4,7,No,5,No,No,Yes,Firebolt ,63,81,124,45000
2023/10/09 2:25:41 pm GMT+5:30,NO,,,,,,,,,,,,,,,,,,,,,,,,
2023/10/09 2:25:51 pm GMT+5:30,NO,,,,,,,,,,,,,,,,,,,,,,,,
2023/10/09 2:26:03 pm GMT+5:30,NO,,,,,,,,,,,,,,,,,,,,,,,,
2023/10/09 2:28:24 pm GMT+5:30,YES,Female,21,45,65000,105000,Yes,Yes,MCA,8.5,0,6,2,1,8,No,4,No,No,Yes,Firebolt,60,83,105,20000
2023/10/09 2:31:00 pm GMT+5:30,YES,Male,22,85,25000,125000,Yes,No,MTech,6.3,2,2,6,3,6,No,7,Yes,Yes,No,,,,,
2023/10/09 2:31:16 pm GMT+5:30,NO,,,,,,,,,,,,,,,,,,,,,,,,
2023/10/09 2:31:25 pm GMT+5:30,NO,,,,,,,,,,,,,,,,,,,,,,,,
2023/10/09 2:31:35 pm GMT+5:30,NO,,,,,,,,,,,,,,,,,,,,,,,,
2023/10/09 2:34:39 pm GMT+5:30,YES,Female,20,43,35000,35000,No,No,Bsc,6.2,0,5,2,1,9,No,3,No,No,No,,,,,
2023/10/09 2:36:48 pm GMT+5:30,YES,Female,19,52,36500,45000,Yes,No,BCA,7.3,0,6,2,0,9,No,3,No,No,Yes,noise,62,82,96,20000
2023/10/09 2:37:35 pm GMT+5:30,NO,,,,,,,,,,,,,,,,,,,,,,,,
2023/10/09 2:39:58 pm GMT+5:30,YES,Male,22,69,65000,85000,No,No,BE,6.9,1,2,3,2,8.5,No,1,No,No,Yes,noise,61,86,96,35000
2023/10/09 2:42:07 pm GMT+5:30,YES,Male,20,69,,69000,Yes,No,BE,5.6,2,1,4,4,10,No,8,Yes,Yes,Yes,Honar,61,75,106,25000
2023/10/09 2:44:14 pm GMT+5:30,YES,Male,23,80,25000,96000,Yes,Yes,MTech,9.1,0,5,2,0,9,No,3,No,No,No,,,,,
2023/10/09 2:52:46 pm GMT+5:30,YES,Male,20,86,,125000,Yes,Yes,BTech,7.6,0,3,2,5,9,No,4,Yes,Yes,Yes,noise,61,86,102,12500
2023/10/09 2:54:24 pm GMT+5:30,YES,Female,21,73,12500,95000,No,Yes,BE,6.3,1,2,5,3,6,No,9,Yes,Yes,No,,,,,
2023/10/09 2:59:54 pm GMT+5:30,YES,Male,18,60,45000,36000,Yes,No,Bcom,7.3,0,1,3,6,6,No,6,Yes,No,Yes,firebolt,61,88,115,10000
2023/10/09 3:08:10 pm GMT+5:30,YES,Female,19,38,,26000,No,No,Bcom,8.3,0,2,2,0,9,No,1,No,No,No,,,,,
2023/10/13 11:52:57 am GMT+5:30,YES,Female,21,62,20000,105000,No,Yes,MCA,7,0,2,6,0,7,No,6,No,No,Yes,Firebolt,,77,77,120000
2023/10/13 11:56:16 am GMT+5:30,YES,Female,22,70,20000,100000,No,No,MCA,7.5,0,2,2,1,5,No,5,No,No,Yes,Noise colorfit ultra buzz,85,80,90,200000
2023/10/13 12:42:27 pm GMT+5:30,YES,Male,22,50,25000,105000,No,Yes,MCA,7.85,0,1,3,1,7,No,4,No,No,No,,,,,
2023/10/13 2:36:54 pm GMT+5:30,YES,Female,22,68,,105000,No,No,MCA,6,0,4,6,3,7,No,5,No,No,Yes,,,88,115,40000
2023/10/13 3:15:03 pm GMT+5:30,YES,Male,22,76,40000,105000,No,No,MCA,7.4,0,2,2,1,5,No,4,No,Yes,No,,,,,
2023/10/13 3:41:22 pm GMT+5:30,YES,Male,22,76,400000,108000,No,Yes,MCA,7.05,0,1,8,1,7,No,6,No,No,Yes,Amazfit,46,64,140,90000
2023/10/13 4:28:55 pm GMT+5:30,YES,Female,21,62,50000,106000,No,Yes,MCA,7,0,2,2,2,7,,10,Yes,Yes,Yes,Noise,6,10,5,10000
2023/10/13 5:00:38 pm GMT+5:30,YES,Female,22,58,50000,106000,No,Yes,MCA,7,0,1,4,5,5,Yes,7,Yes,Yes,No,,,,,
2023/10/13 5:31:07 pm GMT+5:30,YES,Female,17,56,,70000,No,No,Bcom,10,0,2,6,0,7,No,7,No,No,No,,,,,
2023/10/13 6:15:12 pm GMT+5:30,YES,Male,29,87,20136,100052,Yes,Yes,BE,2,4,8,6,5,7,Yes,10,Yes,Yes,No,,,,,
2023/10/13 6:16:29 pm GMT+5:30,YES,Male,31,65,74503,200000,Yes,Yes,BTech,6.3,2,2,5,4,9,Yes,10,Yes,Yes,No,,,,,
2023/10/13 6:18:07 pm GMT+5:30,YES,Female,28,56,55000,150000,Yes,No,Bsc,9.3,1,5,5,1,10,Yes,7,Yes,No,No,,,,,
2023/10/13 6:23:16 pm GMT+5:30,YES,Male,20,60,25000,65000,No,Yes,BCA,7.2,1,2,4,2,9,No,7,Yes,No,Yes,Fastrack,62,85,98,365000
2023/10/13 6:23:49 pm GMT+5:30,YES,Female,18,60,100000,67000,No,Yes,Bcom,7,0,1,3,0,8,Yes,7,No,No,No,,,,,
2023/10/13 6:29:32 pm GMT+5:30,YES,Male,30,95,26500,55000,No,Yes,Msc,7.3,1,3,4,4,7,No,8,Yes,Yes,No,,,,,
2023/10/13 6:43:59 pm GMT+5:30,YES,Male,21,69,25000,150000,Yes,Yes,MCA,7.3,0,3,3,2,10,No,7,Yes,No,Yes,honor,63,92,106,425000
2023/10/13 6:46:29 pm GMT+5:30,YES,Male,21,86,45000,105000,No,Yes,Mcom,6.9,1,2,6,0,9,No,6,Yes,Yes,Yes,honor,65,89,102,350000
2023/10/13 6:48:42 pm GMT+5:30,YES,Male,22,72,35000,105000,Yes,Yes,MCA,8.3,0,3,3,3,10,No,6,No,No,Yes,honor,67,91,106,425000
2023/10/13 6:51:47 pm GMT+5:30,YES,Female,21,52,32000,110000,No,No,MCA,7.8,0,3,6,2,6,Yes,7,No,No,No,,,,,
2023/10/13 7:27:25 pm GMT+5:30,YES,Male,22,75,65000,180000,Yes,Yes,Mcom,8.2,0,3,2,0,9,No,4,No,No,Yes,Firebolt,71,93,115,550000
2023/10/13 7:31:35 pm GMT+5:30,YES,Male,75,85,35000,105000,Yes,Yes,MCA,7.1,0,1,3,4,8.5,No,6,No,No,Yes,Honar,63,85,98,436500
2023/10/13 7:41:21 pm GMT+5:30,YES,Male,21,72,65000,150000,No,Yes,Msc,6.4,1,2,2,3,7,No,3,No,No,Yes,Firebolt,69,78,112,385000
2023/10/13 7:41:35 pm GMT+5:30,NO,,,,,,,,,,,,,,,,,,,,,,,,
2023/10/13 7:44:27 pm GMT+5:30,YES,Male,21,68,,120000,Yes,Yes,MTech,9.1,0,2,2,0,11,No,8,No,No,Yes,Noise,63,82,98,265000
2023/10/13 7:46:49 pm GMT+5:30,YES,Male,20,69,34500,45000,Yes,Yes,BCA,7.3,1,1,2,3,10,No,7,No,No,Yes,Firebolt,65,89,106,245000
2023/10/13 7:49:16 pm GMT+5:30,YES,Male,23,84,65000,105000,No,Yes,MTech,5.6,3,1,3,4,7,No,4,Yes,Yes,Yes,Apple,65,84,98,365000
2023/10/13 7:52:29 pm GMT+5:30,YES,Male,21,65,32500,185000,Yes,No,MCA,6.2,1,1,3,2,8,No,4,Yes,No,Yes,Samsung ,64,82,102,365000
2023/10/13 7:55:23 pm GMT+5:30,YES,Male,23,84,65000,125000,No,Yes,MTech,7.3,0,2,2,4,9,No,6,Yes,No,Yes,Apple,61,85,103,264500
2023/10/13 8:23:02 pm GMT+5:30,YES,Male,21,79,72500,125000,No,No,MTech,6.9,0,1,3,4,8,No,1,No,No,Yes,Apple,64,89,104,453600
2023/10/13 8:26:18 pm GMT+5:30,YES,Male,21,75,,175000,Yes,Yes,MTech,7.2,0,1,3,0,11,No,8,Yes,Yes,Yes,Firebolt,64,75,97,254500
2023/10/13 8:28:35 pm GMT+5:30,YES,Male,23,82,75000,125000,No,Yes,MTech,7.3,0,1,4,5,7,No,1,No,Yes,Yes,Samsung,66,79,120,456020
2023/10/14 2:31:19 am GMT+5:30,YES,Male,18,70,90000,67000,No,No,Bcom,8.9,0,2,6,0,5,No,7,No,No,No,,,,,
2023/10/16 6:18:35 pm GMT+5:30,YES,Female,24,60,30000,110000,No,No,MCA,8,0,1,3,1,8,No,3,No,No,Yes,Noise,70,95,120,100000
2023/10/16 6:23:09 pm GMT+5:30,YES,Male,23,70,100000,170000,No,No,MCA,7,0,1,4,2,8,No,5,No,No,No,,,,,
2023/10/16 7:20:39 pm GMT+5:30,YES,Female,18,70,1000,65000,No,No,Bsc,5,0,3,7,0,7,No,10,Yes,Yes,No,,,,,
2023/10/16 7:31:40 pm GMT+5:30,YES,Female,18,64,50000,100000,No,No,BCA,10,6,3,5,0,9,No,9,No,No,No,,,,,
2023/10/16 7:36:51 pm GMT+5:30,YES,Male,23,72,120000,210000,No,No,MCA,6.68,0,2,2,3,7,No,5,Yes,Yes,No,,,,,
2023/10/16 7:59:09 pm GMT+5:30,YES,Female,22,58,,100000,No,No,Mcom,7,0,1,3,1,8,Yes,8,No,No,No,,,,,
2023/10/16 8:09:08 pm GMT+5:30,YES,Male,21,76,60000,210000,No,No,MCA,7.8,0,0,3,4,7,No,3,No,No,No,,,,,
2023/10/16 8:12:19 pm GMT+5:30,YES,Female,19,56,30000,90000,No,No,BCA,7,0,1,3,1,7.5,No,8,No,No,Yes,Fireboltt,80,90,105,1120635
2023/10/16 8:25:03 pm GMT+5:30,YES,Female,22,43,35000,97000,No,No,Msc,8,0,0.5,3,1,8,No,7,No,No,Yes,OnePlus ,75,80,96,425610
2023/10/16 8:25:32 pm GMT+5:30,YES,Female,21,48,744000,87000,No,No,BCA,8,0,1,2,1,8,No,2,No,No,Yes,Fire boult ,55,70,72,60000
2023/10/16 8:32:35 pm GMT+5:30,YES,Female,19,60,,56000,No,No,Bcom,8,0,0,2,0,7,No,2,No,No,No,,,,,
2023/10/16 8:35:47 pm GMT+5:30,YES,Female,22,47,50000,105000,No,No,MCA,7.6,0,2,5,2,8,No,6,No,Yes,Yes,Noise ,63,86,90,120000
2023/10/16 8:41:11 pm GMT+5:30,YES,Female,23,55,10000,200000,No,Yes,MCA,7.5,0,2,6,2,8,No,5,No,No,No,,,,,
